case,implementation,bytes,median_ns,min_ns,max_ns,MiB/s
filelog_decode/buffered_ascii_experiment/16,prototype,65520,2964698.361,2716409.174,3188901.503,21.076
filelog_decode/buffered_ascii_experiment/16,candidate,65520,818502.844,815831.590,915223.086,76.340
filelog_decode/buffered_ascii_experiment/4,prototype,65520,2816506.808,2813322.931,2826842.900,22.185
filelog_decode/buffered_ascii_experiment/4,candidate,65520,770859.399,739033.139,942535.091,81.059
filelog_decode/buffered_ascii_experiment/64,prototype,65520,2807934.055,2732426.119,2867620.045,22.253
filelog_decode/buffered_ascii_experiment/64,candidate,65520,822461.660,798826.832,975115.185,75.973
filelog_decode/raw/1,prototype,65536,2051900.732,2037441.829,2101256.393,30.460
filelog_decode/raw/1,candidate,65536,1384166.113,1273069.582,1497313.372,45.154
filelog_decode/raw/17,prototype,65536,1147690.030,1137462.477,1189031.310,54.457
filelog_decode/raw/17,candidate,65536,685005.672,683772.793,760572.444,91.240
filelog_decode/raw/3,prototype,65536,1393609.412,1391132.070,1441468.832,44.848
filelog_decode/raw/3,candidate,65536,870865.500,859173.855,934317.917,71.768
filelog_decode/raw/65536,prototype,65536,1099261.235,1087022.079,1120642.472,56.856
filelog_decode/raw/65536,candidate,65536,668287.390,650318.772,779634.305,93.523
filelog_decode/utf16be_bmp/1,prototype,65516,1788075.760,1784531.590,1844770.226,34.943
filelog_decode/utf16be_bmp/1,candidate,65516,1572786.875,1500225.166,1743174.302,39.726
filelog_decode/utf16be_bmp/17,prototype,65516,781618.308,767273.771,811405.854,79.938
filelog_decode/utf16be_bmp/17,candidate,65516,720772.578,707388.845,782615.089,86.686
filelog_decode/utf16be_bmp/3,prototype,65516,1085521.891,1075096.635,1109316.230,57.558
filelog_decode/utf16be_bmp/3,candidate,65516,995825.082,989806.101,1026972.337,62.743
filelog_decode/utf16be_bmp/65536,prototype,65516,711184.714,710694.913,732373.391,87.855
filelog_decode/utf16be_bmp/65536,candidate,65516,678050.554,639158.022,725656.761,92.148
filelog_decode/utf16be_pairs/1,prototype,65520,1581635.347,1552795.617,1657406.494,39.506
filelog_decode/utf16be_pairs/1,candidate,65520,1373223.034,1344958.284,1540989.613,45.502
filelog_decode/utf16be_pairs/17,prototype,65520,503133.416,503017.232,515597.783,124.191
filelog_decode/utf16be_pairs/17,candidate,65520,520514.940,512922.082,626718.489,120.044
filelog_decode/utf16be_pairs/3,prototype,65520,815010.381,810291.975,839897.961,76.667
filelog_decode/utf16be_pairs/3,candidate,65520,753517.270,748117.707,883580.407,82.924
filelog_decode/utf16be_pairs/65536,prototype,65520,445604.008,434656.957,456929.013,140.225
filelog_decode/utf16be_pairs/65536,candidate,65520,467812.206,450495.400,519678.858,133.568
filelog_decode/utf16le_bmp/1,prototype,65516,1826324.803,1789016.169,1853681.800,34.211
filelog_decode/utf16le_bmp/1,candidate,65516,1564914.250,1564788.725,1571566.617,39.926
filelog_decode/utf16le_bmp/17,prototype,65516,781796.124,775017.439,800425.704,79.920
filelog_decode/utf16le_bmp/17,candidate,65516,710746.189,694177.799,736351.967,87.909
filelog_decode/utf16le_bmp/3,prototype,65516,1120963.377,1070387.332,1162366.399,55.739
filelog_decode/utf16le_bmp/3,candidate,65516,972347.960,933387.863,999497.153,64.258
filelog_decode/utf16le_bmp/65536,prototype,65516,710628.259,707314.388,738471.465,87.924
filelog_decode/utf16le_bmp/65536,candidate,65516,654247.096,653603.195,660490.240,95.501
filelog_decode/utf16le_pairs/1,prototype,65520,1580051.802,1556026.311,1608254.553,39.546
filelog_decode/utf16le_pairs/1,candidate,65520,1379398.756,1323654.897,1382234.630,45.299
filelog_decode/utf16le_pairs/17,prototype,65520,515693.363,499932.487,526800.293,121.166
filelog_decode/utf16le_pairs/17,candidate,65520,531842.558,506840.594,547306.035,117.487
filelog_decode/utf16le_pairs/3,prototype,65520,825593.626,813601.412,851683.913,75.685
filelog_decode/utf16le_pairs/3,candidate,65520,763112.191,735388.624,779589.695,81.881
filelog_decode/utf16le_pairs/65536,prototype,65520,444455.992,432935.891,445960.142,140.587
filelog_decode/utf16le_pairs/65536,candidate,65520,453880.653,453243.218,500888.709,137.668
filelog_decode/utf8_ascii/1,prototype,65526,2916817.658,2906163.421,3152745.265,21.424
filelog_decode/utf8_ascii/1,candidate,65526,1481240.752,1432410.139,1535066.271,42.188
filelog_decode/utf8_ascii/17,prototype,65526,2007546.910,1960482.983,2185302.866,31.128
filelog_decode/utf8_ascii/17,candidate,65526,699027.703,681211.722,729627.791,89.396
filelog_decode/utf8_ascii/3,prototype,65526,2250501.529,2238413.232,2384497.955,27.767
filelog_decode/utf8_ascii/3,candidate,65526,913575.640,879750.482,914471.280,68.402
filelog_decode/utf8_ascii/65536,prototype,65526,1912853.144,1896604.131,1964998.063,32.669
filelog_decode/utf8_ascii/65536,candidate,65526,650456.852,638562.862,681847.117,96.072
filelog_decode/utf8_bom/1,prototype,65508,2544662.258,2474559.256,2646795.792,24.551
filelog_decode/utf8_bom/1,candidate,65508,1605897.912,1595382.603,1608429.118,38.902
filelog_decode/utf8_bom/17,prototype,65508,1739013.319,1705692.099,1784077.556,35.925
filelog_decode/utf8_bom/17,candidate,65508,913933.384,903049.766,933125.352,68.357
filelog_decode/utf8_bom/3,prototype,65508,1992174.325,1942106.716,2008179.477,31.359
filelog_decode/utf8_bom/3,candidate,65508,1132298.411,1092416.931,1153742.894,55.174
filelog_decode/utf8_bom/65536,prototype,65508,1663921.267,1647433.807,1712151.071,37.546
filelog_decode/utf8_bom/65536,candidate,65508,858382.017,850048.404,899755.945,72.780
filelog_decode/utf8_multibyte/1,prototype,65505,2507775.964,2498177.441,2560439.834,24.911
filelog_decode/utf8_multibyte/1,candidate,65505,1669455.405,1628527.796,1778202.377,37.420
filelog_decode/utf8_multibyte/17,prototype,65505,1682517.377,1670018.168,1720522.793,37.129
filelog_decode/utf8_multibyte/17,candidate,65505,911768.655,902692.089,972369.054,68.516
filelog_decode/utf8_multibyte/3,prototype,65505,2035838.347,1939453.351,2049073.470,30.685
filelog_decode/utf8_multibyte/3,candidate,65505,1129535.043,1090956.757,1159492.813,55.306
filelog_decode/utf8_multibyte/65536,prototype,65505,1667663.554,1622648.746,1849550.676,37.460
filelog_decode/utf8_multibyte/65536,candidate,65505,875255.884,848084.763,908569.324,71.374
